Maria Celeste,Hoffmann,23669926,1984-05-28,7894
Valentina Belén,Pavón,28182194,1986-11-17,5646
Priscila Abigail,Varela,29166751,1996-07-05,3535
Lautaro Valentin,Gómez,31016101,1998-03-14,9953
Ciro,Delgado,21206052,1995-05-20,3561
Lautaro Emanuel,Mancuso,26954468,1984-05-06,9799
Thiago Benjamin,Abadía,21816886,2002-06-03,3729
Luis Fernando,Mora,35592342,1999-06-14,9247
Maria,Vera,33993912,1994-12-23,6421
Alvaro,Muñoz,37239564,2003-11-02,2957
Candela Abigail,Lorca,39556936,2001-12-14,9179
Joaquin Alejandro,Pereyra,34150208,1997-12-10,4152
Genaro,Scioti,22386643,1985-02-28,3546
Magdalena,Salem,29645673,1993-11-19,3645
Agustin Alejandro,Espinoza,33791121,1981-01-24,8032
Santiago Valentin,Godoy,24246033,1984-07-30,7367
Santiago Emanuel,Huarte,36242805,2004-01-09,9094
Santiago Joaquin,Mamani,36283183,1994-05-18,2091
Martin Alejandro,Demichelis,29779742,1998-12-11,1240
Thiago Nahuel,Ibáñez,39040791,2003-05-11,8650
Mateo Benjamin,Pavón,29634890,1990-10-25,3585
Franco Gabriel,Rómulo,38844467,1981-11-10,4545
